#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-0.5992 -0.321086 -0.0481819 0.254758 0.148134 0.0655908 455 0.000679348 0.139153 0.0770366 0.473783 
-0.599214 -0.0481516 -0.32108 0.254253 0.0657102 0.148113 209 0.000679348 0.139387 0.0772204 0.473392 
-1.07386 -0.222872 -0.372053 -0.0176053 0.00367321 -0.0234744 349 0.000679348 0.0471335 0.0103339 0.923208 
-0.683399 -0.115601 -0.683399 0.130368 -0.0969415 0.130368 149 0.000679348 0.0610567 0.0178515 0.77206 
-1.02842 -0.371278 -0.627952 -0.10688 -0.0454018 -0.0701367 197 0.000679348 0.0426863 0.00827581 0.995491 
-0.627952 -0.371278 -1.02842 -0.0701367 -0.0454018 -0.10688 31 0.000679348 0.0426863 0.00827581 0.995491 
-1.33366 -0.360429 -1.04391 -0.37729 -0.130877 -0.288514 221 0.000679348 0.0177449 0.00310536 1.38615 
-1.73576 -0.330893 -0.330893 -0.522643 -0.147677 -0.147678 645 0.000679348 0.0144024 0.00245626 1.49097 
-1.33366 -1.04392 -0.360429 -0.377292 -0.288515 -0.130878 605 0.000679348 0.0177446 0.0031053 1.38614 
-1.36014 -1.11402 -1.11402 -0.444876 -0.387611 -0.387611 187 0.000679348 0.0163298 0.00206833 1.57081 
-2.31952 -0.578414 -0.578414 -0.934155 -0.192827 -0.192827 325 0.000679348 0.00883467 0.000820806 2.1459 
-1.77644 -0.308214 -1.77644 -0.713326 -0.17015 -0.713326 129 0.000679348 0.00848927 0.000832303 2.13902 
-1.77644 0.308214 -1.77644 -0.713326 0.17015 -0.713326 119 0.000679348 0.00848927 0.000832303 2.13902 
-1.77644 1.77644 -0.308222 -0.713324 0.713325 -0.170155 869 0.000679348 0.00848928 0.000832305 2.13902 
-2.31952 0.578414 -0.578414 -0.934155 0.192827 -0.192827 389 0.000679348 0.00883467 0.000820806 2.1459 
-1.36014 1.11402 -1.11402 -0.444876 0.387611 -0.387611 269 0.000679348 0.0163298 0.00206833 1.57081 
-1.33366 0.360429 -1.04391 -0.37729 0.130877 -0.288514 233 0.000679348 0.0177449 0.00310536 1.38615 
-1.73576 0.330893 -0.330893 -0.522643 0.147677 -0.147678 659 0.000679348 0.0144024 0.00245626 1.49097 
-1.33366 1.04392 -0.360429 -0.377292 0.288515 -0.130878 701 0.000679348 0.0177446 0.0031053 1.38614 
-0.627953 1.02844 -0.371278 -0.0701526 0.106904 -0.0454062 423 0.000679348 0.0426917 0.00827738 0.995419 
-1.02843 0.627951 -0.371278 -0.106889 0.0701332 -0.0454053 401 0.000679348 0.0426822 0.0082746 0.995542 
-0.683409 0.683415 -0.11558 0.130326 -0.130341 -0.0969136 1161 0.000679348 0.0610446 0.0178452 0.772142 
-1.07386 0.372049 -0.222877 -0.0176133 0.0234676 0.00366409 687 0.000679348 0.0471288 0.0103324 0.923251 
-0.5992 0.321086 -0.0481819 0.254758 -0.148134 0.0655908 547 0.000679348 0.139153 0.0770366 0.473783 
-0.599214 0.0481516 -0.32108 0.254253 -0.0657102 0.148113 245 0.000679348 0.139387 0.0772204 0.473392 
-1.07386 0.222872 -0.372053 -0.0176053 -0.00367321 -0.0234744 363 0.000679348 0.0471335 0.0103339 0.923208 
-1.02842 0.371278 -0.627952 -0.10688 0.0454018 -0.0701367 257 0.000679348 0.0426863 0.00827581 0.995491 
-0.683399 0.115601 -0.683399 0.130368 0.0969415 0.130368 99 0.000679348 0.0610567 0.0178515 0.77206 
-0.627952 0.371278 -1.02842 -0.0701367 0.0454018 -0.10688 71 0.000679348 0.0426863 0.00827581 0.995491 
-0.721556 0.721552 -0.721556 -0.0514991 0.0514907 -0.0514991 270 0.000679348 0.0301203 0.00783225 1.01359 
-0.371278 0.627951 -1.02843 -0.0454053 0.0701332 -0.106889 79 0.000679348 0.0426822 0.0082746 0.995542 
-0.371278 1.02844 -0.627953 -0.0454062 0.106904 -0.0701526 287 0.000679348 0.0426917 0.00827738 0.995419 
-0.11558 0.683415 -0.683409 -0.0969136 -0.130341 0.130326 172 0.000679348 0.0610446 0.0178452 0.772142 
-0.222877 0.372049 -1.07386 0.00366409 0.0234676 -0.0176133 23 0.000679348 0.0471288 0.0103324 0.923251 
-0.372053 0.222872 -1.07386 -0.0234744 -0.00367321 -0.0176053 13 0.000679348 0.0471335 0.0103339 0.923208 
-0.32108 0.0481516 -0.599214 0.148113 -0.0657102 0.254253 63 0.000679348 0.139387 0.0772204 0.473392 
-0.0481819 0.321086 -0.5992 0.0655908 -0.148134 0.254758 80 0.000679348 0.139153 0.0770366 0.473783 
-0.195393 0.378292 -0.363041 0.206146 -0.176125 0.347608 150 0.000679348 0.258804 0.203218 0.342752 
-0.195676 0.363187 -0.378073 0.201166 -0.345725 0.179636 414 0.000679348 0.259625 0.203178 0.342773 
-0.0839119 0.334783 -0.332975 0.185072 -0.156858 0.162011 168 0.000679348 0.42751 0.348085 0.284225 
-0.115302 0.140084 -0.525474 0.0685636 -0.145896 0.393093 20 0.000679348 0.271867 0.183626 0.351556 
-0.140034 0.115293 -0.525452 0.146245 -0.0683199 0.393097 14 0.000679348 0.271998 0.183772 0.351483 
-0.042489 0.0790246 -0.372365 -0.05315 -0.088773 -0.053162 66 0.000679348 0.427873 0.767709 0.21988 
-0.0780468 0.0348636 -0.371058 0.103062 0.0413956 -0.054968 57 0.000679348 0.436861 0.794007 0.217503 
-0.140355 0.0671344 -0.299085 0.0111806 -0.0140223 0.032219 56 0.000679348 0.575686 1.15691 0.190645 
-0.0653565 0.139495 -0.29995 0.0237029 -0.0215826 0.0199019 74 0.000679348 0.575191 1.15492 0.190722 
-0.0173184 0.201197 -0.385159 -0.0340731 -0.0851028 0.0641433 163 0.000679348 0.429982 0.511849 0.251937 
-0.144183 0.195005 -0.368983 0.0267065 -0.0406684 0.0593741 64 0.000679348 0.395728 0.488007 0.254719 
-0.194265 0.144839 -0.369287 0.0415434 -0.0265294 0.0594516 73 0.000679348 0.395316 0.487062 0.254842 
-0.202338 0.0174406 -0.385655 0.073791 0.0350949 0.0644239 120 0.000679348 0.42853 0.50901 0.252402 
-0.334669 0.0835479 -0.334669 0.158738 -0.191395 0.158738 139 0.000679348 0.424463 0.34634 0.28529 
-0.363507 0.196134 -0.378419 0.346224 -0.199403 0.173497 402 0.000679348 0.2596 0.203307 0.343001 
-0.378419 0.196134 -0.363507 0.173497 -0.199403 0.346224 160 0.000679348 0.2596 0.203307 0.343001 
